index,fullname,age,email,score,isActive
1,Cathie,21,Cathie@yopmail.com,4.67,0
2,Kate,22,Kate@yopmail.com,9.41,1
3,Kara-Lynn,23,Kara-Lynn@yopmail.com,4.69,1
4,Donetta,23,Donetta@yopmail.com,10.84,0
5,Lorie,23,Lorie@yopmail.com,4.07,1
6,Bettine,18,Bettine@yopmail.com,1.08,1
7,Fernande,21,Fernande@yopmail.com,1.36,0
8,Julieta,23,Julieta@yopmail.com,2.02,0
9,Trudie,18,Trudie@yopmail.com,5.4,1
10,Evaleen,19,Evaleen@yopmail.com,5.23,0
11,Cherrita,21,Cherrita@yopmail.com,5.57,0
12,Hettie,18,Hettie@yopmail.com,3.57,0
13,Linzy,18,Linzy@yopmail.com,9.32,1
14,Christian,19,Christian@yopmail.com,3.83,1
15,Isa,18,Isa@yopmail.com,3.24,1
16,Briney,21,Briney@yopmail.com,9.54,0
17,Quintina,20,Quintina@yopmail.com,6.76,0
18,Nessie,19,Nessie@yopmail.com,7,1
19,Shirlee,21,Shirlee@yopmail.com,4.38,1
20,Jeanna,19,Jeanna@yopmail.com,6.34,1
21,Wendi,23,Wendi@yopmail.com,10.48,0
22,Damaris,18,Damaris@yopmail.com,9.35,0
23,Nollie,18,Nollie@yopmail.com,10.58,1
24,Lolita,20,Lolita@yopmail.com,3.72,1
25,Vere,21,Vere@yopmail.com,2.02,0
26,Konstance,23,Konstance@yopmail.com,9.92,0
27,Lonnie,19,Lonnie@yopmail.com,6.11,1
28,Lisette,20,Lisette@yopmail.com,2.56,1
29,Ermengarde,23,Ermengarde@yopmail.com,3.18,1
30,Taffy,22,Taffy@yopmail.com,8.78,0
31,Paola,18,Paola@yopmail.com,10.84,1
32,Inga,20,Inga@yopmail.com,5.86,1
33,Rosabelle,21,Rosabelle@yopmail.com,8.15,0
34,Joy,23,Joy@yopmail.com,3.52,0
35,Merle,22,Merle@yopmail.com,9.96,0
36,Nanete,19,Nanete@yopmail.com,8.46,1
37,Orsola,21,Orsola@yopmail.com,7.26,0
38,Constance,18,Constance@yopmail.com,2.11,0
39,Karena,21,Karena@yopmail.com,9.19,0
40,Nataline,23,Nataline@yopmail.com,7.25,0
41,Elie,20,Elie@yopmail.com,5.46,0
42,Michaelina,20,Michaelina@yopmail.com,4.77,0
43,Gerianna,22,Gerianna@yopmail.com,7.59,0
44,Larine,20,Larine@yopmail.com,2.82,0
45,Amelia,20,Amelia@yopmail.com,10.86,1
46,Calla,18,Calla@yopmail.com,7.01,1
47,Eve,19,Eve@yopmail.com,8.62,0
48,Maridel,23,Maridel@yopmail.com,2.77,0
49,Selma,19,Selma@yopmail.com,7.96,1
50,Silvana,20,Silvana@yopmail.com,5.33,1
51,Collen,21,Collen@yopmail.com,8.32,0
52,Blake,19,Blake@yopmail.com,4.74,0
